standard_code,title,product_category,scope_summary,source_url,source_status
IS 2347:2023,Domestic Pressure Cooker — Specification,Consumer Goods / Mechanical,Domestic pressure cooker specification; exact current scope should be taken from the current BIS record/preview before production use,https://services.bis.gov.in/,Official BIS source
IS 14543:2024,Packaged Drinking Water (Other than Packaged Natural Mineral Water) — Specification,Food / Consumer,Packaged drinking water other than packaged natural mineral water,https://services.bis.gov.in/tmp/tbl5_2024-11-11-11-31.pdf,Official BIS source
IS 9873 (Part 1):2012,Safety Requirements for Toys — Part 1: Safety Aspects related to Mechanical and Physical Properties,Toys,Requirements apply to toys/products designed or clearly intended for use in play by children under 14 years; this row represents Part 1 only,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/Group_wise_standards_list/show_scope?row=MTczMDI%3D,Official BIS source
IS 302 (Part 1):2024,Household and Similar Electrical Appliances — Safety Part 1: General Requirements,Electrical Appliances,General safety requirements for household and similar electrical appliances,https://www.services.bis.gov.in/php/BIS_2.0/bisconnect/standard_review/Standard_review/Isdetails?ID=MzE5MDE%3D,Official BIS source
IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement,Building Materials / Steel,Covers technical requirements for high strength deformed steel bars and wires for concrete reinforcement (TMT bars),https://standards.bis.gov.in/,Official BIS source
IS 269:2015,Ordinary Portland Cement — Specification,Building Materials / Cement,Specifies requirements for 33 grade 43 grade and 53 grade ordinary Portland cement,https://standards.bis.gov.in/,Official BIS source
IS 1293:2019,Plugs and Socket-Outlets of Rated Voltage up to and Including 250 Volts,Electrical Appliances,Specifies requirements for plugs and fixed or portable socket-outlets for AC with rated voltage up to 250 V,https://standards.bis.gov.in/,Official BIS source
IS 13252 (Part 1):2010,Information Technology Equipment — Safety Part 1: General Requirements,Electronics and IT Goods,General safety requirements for mains-powered or battery-powered information technology equipment including laptops,https://standards.bis.gov.in/,Official BIS source
IS 16046 (Part 2):2018,Secondary Cells and Batteries Containing Alkaline or Other Non-Acid Electrolytes (Lithium Systems),Electronics and IT Goods,Safety requirements for portable sealed secondary lithium cells and batteries for use in portable applications,https://standards.bis.gov.in/,Official BIS source
IS 2112:2025,Silver and Silver Alloys — Fineness and Marking — Specification,Precious Metals / Silver Hallmarking,Specifies seven permitted purity grades (800 835 925 958 970 990 999) and 3 mandatory marks for silver hallmarking,https://pib.gov.in/PressReleasePage.aspx?PRID=2050123,Official BIS / PIB source
IS 10500:2012,Drinking Water — Specification,Food / Consumer,Prescribes requirements and methods of sampling and test for drinking water piped supplies,https://standards.bis.gov.in/,Official BIS source
IS 694:2010,Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables for Working Voltages up to and Including 1100 V,Electrical / Cables,Requirements for single core and multicore PVC insulated cables for electric power and lighting,https://standards.bis.gov.in/,Official BIS source
